Timestamp,Residents,Temperature,Humidity,Water_Price,Period_Consumption_Index,Guests,Temp_WaterPrice_Interaction,Guests_ApplianceUsage_Interaction,ApplianceUsage_Squared,Month_sin,Day_sin,Income_Level,Appliance_Usage,Week,is_null_amenities,Apartment_Type_2BHK,Apartment_Type_3BHK,Apartment_Type_Studio,Amenities_Garden,Water_Consumption_Prediction
2014-10-11 16:00:00,1.4664788947473588,-1.5097663498753473,0.4722702308585491,1.81031269544589,1.4642837039284198,1.4427208116274297,-0.3371903388345133,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,1.1041069997634454,4.0,0.0,5,0,0,0,0,0,304.6325
2014-10-12 00:00:00,0.6734048425421238,0.9318515377941277,0.8255410958030072,1.9496748394664414,0.6561767998646227,-0.6011032574627819,2.410324256609643,-0.17990556015601056,1.846939497142439,-1.2240535336390064,0.9085607830529429,4.0,-1.0,6,0,0,0,0,1,195.91344
2014-10-12 08:00:00,-0.11966920966311119,-1.7380076065415073,1.1748088914563115,-0.12333705283925916,-0.8253525242523392,-0.6011032574627819,-1.2042655295666673,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,0.9085607830529429,3.0,0.0,6,1,0,0,0,1,76.966515
2014-10-12 16:00:00,-0.11966920966311119,0.623303172300986,-0.04912954431443401,-0.4369018768854994,0.701071627868167,-0.6011032574627819,0.04862212730497509,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,0.9085607830529429,2.0,0.0,6,1,0,0,0,1,124.478874
2014-10-13 00:00:00,-0.9127432618683462,-1.449183794093589,0.20706689031950726,-0.9420896489599979,0.6561767998646227,-0.6011032574627819,-1.3345634008178044,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,0.6756073838422847,3.0,0.0,0,0,0,0,0,0,121.14782
2014-10-13 08:00:00,-0.11966920966311119,0.33166156656089285,-0.13519553407427376,0.3121696472249636,-0.062140448192086556,1.4427208116274297,0.4671864375165952,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,0.6756073838422847,5.0,0.0,0,0,0,0,0,0,255.73595
2014-10-13 16:00:00,-0.11966920966311119,1.5954418581012961,-2.6421176776603055,1.357385727379098,-0.4212990722204402,1.4427208116274297,2.513328014845494,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,0.6756073838422847,4.0,0.0,0,0,0,1,0,0,238.72473
2014-10-14 00:00:00,0.6734048425421238,-1.0659639063578146,1.394977702469854,-0.158177588844397,-0.10703527619563089,-0.6011032574627819,-0.7885283240424933,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,0.41478394166601734,5.0,0.0,1,1,0,0,0,0,158.45906
2014-10-14 08:00:00,1.4664788947473588,1.6306642742534814,-0.7416605316843079,0.7999371512968931,-0.19682493220271854,-0.6011032574627819,1.950630485153632,-0.17990556015601056,1.846939497142439,-1.2240535336390064,0.41478394166601734,4.0,1.0,1,0,1,0,0,0,282.9269
2014-10-14 16:00:00,-0.11966920966311119,-0.005064731853997375,-0.123186326200808,1.8974140354587343,1.509178531931964,-0.6011032574627819,1.3389934810750341,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,0.41478394166601734,4.0,0.0,1,1,0,0,0,0,161.22592
2014-10-15 00:00:00,1.4664788947473588,1.5743084084099852,0.27912213756030396,0.2076480392095504,1.105125079900065,1.4427208116274297,1.2759894337548061,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,0.1367685988922907,5.0,0.0,2,1,0,0,0,0,315.9229
2014-10-15 08:00:00,-1.705817314073581,0.5556761332887904,0.67742753203026,-0.6459450929163262,-0.15193010419917422,1.4427208116274297,-0.16403290559396577,3.614712657823873,1.846939497142439,-1.2240535336390064,0.1367685988922907,2.0,1.0,2,1,0,0,1,1,79.25059
2014-10-15 16:00:00,-1.705817314073581,1.1671372776907247,-0.7496666702666185,-0.4194816088829305,-0.24171976020626287,-0.6011032574627819,0.37727031835506014,-0.17990556015601056,-0.541436252539505,-1.2240535336390064,0.1367685988922907,2.0,0.0,2,0,0,0,1,1,64.78347
